"aqi_id","city","state","region","country","latitude","longitude","timestamp","aqius","mainus","aqicn","maincn","temperature","pressure","humidity","wind_speed","wind_direction"
1411,Ban Ko Kaeo,Phuket,South,Thailand,98.396640,7.935990,2025-03-26 15:00:00.000,110,p2,55,p2,26.00,1007,78,5.76,321
1412,Kathu,Phuket,South,Thailand,98.333220,7.917790,2025-03-26 15:00:00.000,142,p2,71,p2,26.00,1008,77,5.52,326
1413,Mueang Phuket,Phuket,South,Thailand,98.364370,7.863380,2025-03-26 15:00:00.000,51,p2,13,p2,26.00,1008,78,6.05,324
1414,Phuket,Phuket,South,Thailand,98.393753,7.888587,2025-03-26 13:00:00.000,72,p2,59,p1,27.00,1008,78,5.90,322
1415,Thalang,Phuket,South,Thailand,98.334080,8.031690,2025-03-26 15:00:00.000,112,p2,56,p2,27.00,1008,78,2.57,300
1416,Bang Krabao,Prachin Buri,East,Thailand,101.203350,13.983660,2025-03-26 15:00:00.000,95,p2,47,p2,31.00,1005,78,4.57,194
1417,Bang Saphan Noi,Prachuap Khiri Khan,West,Thailand,99.441520,11.075350,2025-03-26 15:00:00.000,124,p2,63,p2,25.00,1008,79,2.52,283
1418,Hin Lek Fai,Prachuap Khiri Khan,West,Thailand,99.860810,12.596010,2025-03-26 15:00:00.000,152,p2,78,p2,29.00,1006,80,3.02,187
1419,Hua Hin,Prachuap Khiri Khan,West,Thailand,99.958760,12.570650,2025-03-26 15:00:00.000,147,p2,74,p2,29.00,1006,83,4.83,184
1420,Prachuap Khiri Khan,Prachuap Khiri Khan,West,Thailand,99.784100,11.820980,2025-03-26 15:00:00.000,115,p2,58,p2,27.00,1007,78,3.32,229
1421,Sam Roi Yot,Prachuap Khiri Khan,West,Thailand,99.984404,12.241651,2025-03-26 15:00:00.000,140,p2,71,p2,28.00,1007,83,4.73,192
1422,Thap Sakae,Prachuap Khiri Khan,West,Thailand,99.621700,11.499640,2025-03-26 15:00:00.000,134,p2,68,p2,25.00,1008,85,2.03,293
1423,Thap Tai,Prachuap Khiri Khan,West,Thailand,99.862520,12.515330,2025-03-26 15:00:00.000,100,p2,50,p2,28.00,1006,81,2.83,196
1424,Ban Pong,Ratchaburi,West,Thailand,99.877390,13.816290,2025-03-26 15:00:00.000,134,p2,67,p2,30.00,1006,81,5.69,162
1425,Na Mueang,Ratchaburi,West,Thailand,99.817940,13.534010,2025-03-26 14:00:00.000,129,p2,65,p2,30.00,1006,79,4.25,156
1426,Rang Bua,Ratchaburi,West,Thailand,99.530990,13.541570,2025-03-26 15:00:00.000,145,p2,73,p2,29.00,1006,64,2.18,221
1427,Ratchaburi,Ratchaburi,West,Thailand,99.813558,13.528295,2025-03-26 15:00:00.000,78,p2,34,p2,30.00,1006,79,4.25,156
1428,Klaeng,Rayong,East,Thailand,101.648310,12.779720,2025-03-26 15:00:00.000,97,p2,49,p2,29.00,1006,93,2.78,187
1429,Maptaphut,Rayong,East,Thailand,101.152670,12.705150,2025-03-26 14:00:00.000,124,p2,76,p1,30.00,1006,87,3.09,170
1430,Nikhom Phattana,Rayong,East,Thailand,101.202730,12.827360,2025-03-26 15:00:00.000,113,p2,57,p2,29.00,1006,85,4.55,172
1431,Pluak Daeng,Rayong,East,Thailand,101.214630,12.971220,2025-03-26 14:00:00.000,105,p2,53,p2,30.00,1006,81,4.13,179
1432,Rayong,Rayong,East,Thailand,101.277888,12.676350,2025-03-26 15:00:00.000,122,p2,62,p2,30.00,1006,87,1.34,270
1433,Sam Nak Thon,Rayong,East,Thailand,101.033800,12.762290,2025-03-26 15:00:00.000,104,p2,52,p2,29.00,1006,87,3.09,170
1434,Tha Pradu,Rayong,East,Thailand,101.276490,12.674070,2025-03-26 14:00:00.000,64,p2,38,p1,30.00,1006,87,1.34,270
1435,Roi Et,Roi Et,Northeast,Thailand,103.653090,16.056700,2025-03-26 14:00:00.000,164,p2,100,p2,31.00,1003,34,3.41,203
1436,Aranyaprathet,Sa Kaeo,East,Thailand,102.501280,13.692760,2025-03-26 15:00:00.000,100,p2,51,p2,30.00,1005,70,2.10,221
1437,Sakon Nakhon,Sakon Nakhon,Northeast,Thailand,104.147250,17.161160,2025-03-26 14:00:00.000,167,p2,104,p2,29.00,1003,29,2.46,208
1438,Sawang Daen Din,Sakon Nakhon,Northeast,Thailand,103.457530,17.475310,2025-03-26 15:00:00.000,157,p2,86,p2,31.00,1003,35,1.29,165
1439,Bang Bo District,Samut Prakan,Central,Thailand,100.816670,13.583330,2025-03-26 15:00:00.000,124,p2,63,p2,30.00,1006,84,6.69,200
1440,Bang Kaeo,Samut Prakan,Central,Thailand,100.662320,13.642060,2025-03-26 15:00:00.000,129,p2,65,p2,31.00,1006,82,6.69,200
1441,Bang Phli,Samut Prakan,Central,Thailand,100.725820,13.619720,2025-03-26 15:00:00.000,127,p2,64,p2,31.00,1006,83,6.69,200
1442,Bang Pla,Samut Prakan,Central,Thailand,100.738310,13.556190,2025-03-26 15:00:00.000,152,p2,78,p2,30.00,1006,84,6.69,200
1443,Bang Sao Thong,Samut Prakan,Central,Thailand,100.830420,13.595000,2025-03-26 15:00:00.000,118,p2,59,p2,30.00,1006,84,6.69,200
1444,Pak Nam,Samut Prakan,Central,Thailand,100.597330,13.594390,2025-03-26 15:00:00.000,115,p2,58,p2,31.00,1006,83,6.69,200
1445,Phra Pradaeng,Samut Prakan,Central,Thailand,100.531840,13.652157,2025-03-26 15:00:00.000,132,p2,67,p2,31.00,1006,82,7.24,185
1446,Samut Prakan,Samut Prakan,Central,Thailand,100.828216,13.613254,2025-03-26 15:00:00.000,124,p2,63,p2,31.00,1006,83,6.69,200
1447,Song Khanong,Samut Prakan,Central,Thailand,100.544670,13.665020,2025-03-26 14:00:00.000,108,p2,54,p2,31.00,1006,82,7.41,185
1448,Bang Nam Chuet,Samut Sakhon,Central,Thailand,100.350010,13.617030,2025-03-26 15:00:00.000,128,p2,64,p2,31.00,1006,82,6.68,180
1449,Om Noi,Samut Sakhon,Central,Thailand,100.304780,13.700770,2025-03-26 14:00:00.000,114,p2,57,p2,31.00,1006,82,6.00,180
1450,Samut Sakhon,Samut Sakhon,Central,Thailand,100.275980,13.544215,2025-03-26 15:00:00.000,112,p2,56,p2,30.00,1006,82,6.63,176
1451,Bang Phrom,Samut Songkhram,Central,Thailand,99.955480,13.452490,2025-03-26 15:00:00.000,151,p2,76,p2,30.00,1006,81,4.93,165
1452,Samut Songkhram,Samut Songkhram,Central,Thailand,100.002640,13.414560,2025-03-26 15:00:00.000,157,p2,87,p2,30.00,1006,79,5.54,169
1453,Chaloem Phra Kiat,Sara Buri,Central,Thailand,100.908250,14.611500,2025-03-26 14:00:00.000,140,p2,84,p1,31.00,1003,64,5.52,195
1454,Muak Lek,Sara Buri,Central,Thailand,101.200220,14.652870,2025-03-26 15:00:00.000,153,p2,80,p2,30.00,1003,58,3.44,160
1455,Saraburi,Sara Buri,Central,Thailand,100.909970,14.539720,2025-03-26 15:00:00.000,158,p2,88,p2,31.00,1004,65,5.28,192
1456,La-ngu,Satun,South,Thailand,99.788360,6.884920,2025-03-26 15:00:00.000,87,p2,41,p2,28.00,1008,81,2.38,331
1457,Phiman,Satun,South,Thailand,100.072700,6.615430,2025-03-26 13:00:00.000,72,p2,29,p2,28.00,1007,82,1.66,339
1458,Sing Buri,Sing Buri,Central,Thailand,100.404640,14.887860,2025-03-26 14:00:00.000,161,p2,94,p2,31.00,1004,63,6.14,208
1459,Bueng Bun,Sisaket,Northeast,Thailand,104.044850,15.330300,2025-03-26 15:00:00.000,149,p2,75,p2,34.00,1004,32,4.64,202
1460,Kantharalak,Sisaket,Northeast,Thailand,104.649920,14.640560,2025-03-26 15:00:00.000,159,p2,90,p2,31.00,1005,37,2.70,196
1461,Si Sa Ket,Sisaket,Northeast,Thailand,104.329380,15.114810,2025-03-26 14:00:00.000,151,p2,76,p2,32.00,1004,35,4.83,197
1462,Ban Mai,Songkhla,South,Thailand,100.545080,7.204110,2025-03-26 15:00:00.000,106,p2,53,p2,27.00,1008,79,1.25,155
1463,Hat Yai,Songkhla,South,Thailand,100.476680,7.008360,2025-03-26 13:00:00.000,72,p2,29,p2,26.00,1008,88,0.51,0
1464,Pak Khwae,Sukhothai,North,Thailand,99.823730,17.041810,2025-03-26 15:00:00.000,171,p2,111,p2,30.00,1002,39,4.28,252
1465,Sawankhalok,Sukhothai,North,Thailand,99.831860,17.315970,2025-03-26 15:00:00.000,174,p2,116,p2,30.00,1003,34,4.70,245
1466,Yang Sai,Sukhothai,North,Thailand,99.829480,16.970430,2025-03-26 15:00:00.000,155,p2,83,p2,30.00,1002,39,3.87,262
1467,Rua Yai,Suphan Buri,Central,Thailand,100.099760,14.470110,2025-03-26 14:00:00.000,106,p2,53,p2,31.00,1005,73,5.24,190
1468,Ban Tai,Surat Thani,South,Thailand,100.048830,9.728510,2025-03-26 15:00:00.000,105,p2,53,p2,26.00,1008,75,4.03,151
1469,Bo Put,Surat Thani,South,Thailand,100.040000,9.533570,2025-03-26 15:00:00.000,124,p2,62,p2,26.00,1008,75,3.75,139
1470,Ko Pha-ngan,Surat Thani,South,Thailand,100.026490,9.749390,2025-03-26 15:00:00.000,138,p2,69,p2,25.00,1008,75,4.09,153
1471,Ko Samui,Surat Thani,South,Thailand,99.935670,9.535670,2025-03-26 15:00:00.000,99,p2,50,p2,28.00,1007,77,3.96,137
1472,Surat Thani,Surat Thani,South,Thailand,99.340352,9.112998,2025-03-26 15:00:00.000,122,p2,61,p2,28.00,1007,77,0.89,54
1473,Prasat,Surin,Northeast,Thailand,103.404470,14.640390,2025-03-26 15:00:00.000,137,p2,69,p2,31.00,1005,44,5.42,207
1474,Si Khoraphum,Surin,Northeast,Thailand,103.797040,14.944180,2025-03-26 15:00:00.000,144,p2,73,p2,31.00,1004,42,4.50,205
1475,Surin,Surin,Northeast,Thailand,103.493640,14.881810,2025-03-26 15:00:00.000,152,p2,78,p2,32.00,1004,42,5.59,207
1476,Tha Tum,Surin,Northeast,Thailand,103.675420,15.319500,2025-03-26 14:00:00.000,150,p2,75,p2,32.00,1004,35,4.95,190
1477,Mae Pa,Tak,North,Thailand,98.592320,16.751780,2025-03-26 14:00:00.000,130,p2,65,p2,24.00,1008,52,1.47,212
1478,Mae Sot,Tak,North,Thailand,98.591312,16.750102,2025-03-26 15:00:00.000,134,p2,67,p2,24.00,1008,52,1.47,212
1479,Tak,Tak,North,Thailand,99.128980,16.869680,2025-03-26 15:00:00.000,163,p2,98,p2,29.00,1005,29,4.64,262
1480,Trang,Trang,South,Thailand,99.611410,7.556330,2025-03-26 14:00:00.000,110,p2,55,p2,25.00,1008,93,1.02,109
1481,Khlong Yai,Trat,East,Thailand,102.885670,11.776450,2025-03-26 15:00:00.000,78,p2,34,p2,26.00,1008,86,1.14,100
1482,Ko Chang Tai,Trat,East,Thailand,102.372670,12.001710,2025-03-26 15:00:00.000,56,p2,17,p2,28.00,1007,78,3.96,152
1483,Trat,Trat,East,Thailand,102.515140,12.243640,2025-03-26 15:00:00.000,94,p2,46,p2,27.00,1007,84,1.81,131
1484,Kut Sa,Udon Thani,Northeast,Thailand,102.840070,17.490030,2025-03-26 15:00:00.000,165,p2,100,p2,31.00,1003,47,1.21,151
1485,Nong Han,Udon Thani,Northeast,Thailand,103.105330,17.360830,2025-03-26 15:00:00.000,151,p2,76,p2,31.00,1003,40,1.71,138
1486,Udon Thani,Udon Thani,Northeast,Thailand,102.797302,17.501436,2025-03-26 15:00:00.000,161,p2,93,p2,31.00,1003,47,1.10,153
1487,Uthai Thani,Uthai Thani,Central,Thailand,100.019944,15.380376,2025-03-26 14:00:00.000,157,p2,87,p2,31.00,1004,52,6.45,189
1488,Nam Rit,Uttaradit,North,Thailand,100.115010,17.699680,2025-03-26 15:00:00.000,161,p2,93,p2,29.00,1004,33,0.79,192
1489,Uttaradit,Uttaradit,North,Thailand,100.139930,17.663549,2025-03-26 15:00:00.000,143,p2,77,p1,29.00,1004,33,1.03,188
1490,Betong,Yala,South,Thailand,101.072310,5.774340,2025-03-26 14:00:00.000,69,p2,27,p2,25.00,1009,92,0.50,47
1491,Yala,Yala,South,Thailand,101.280722,6.541441,2025-03-26 13:00:00.000,74,p2,31,p2,26.00,1008,93,0.36,177
1492,Yasothon,Yasothon,Northeast,Thailand,104.145100,15.794080,2025-03-26 14:00:00.000,169,p2,108,p2,33.00,1003,30,2.67,195
1493,Amnat Charoen,Amnat Charoen,Northeast,Thailand,104.628830,15.858510,2025-03-28 03:00:00.000,152,p2,77,p2,36.00,1007,37,5.04,199
1494,Ang Thong,Ang Thong,Central,Thailand,100.452830,14.588390,2025-03-28 04:00:00.000,109,p2,65,p1,33.00,1008,21,4.07,218
1495,Pa Mok,Ang Thong,Central,Thailand,100.448470,14.489890,2025-03-28 03:00:00.000,137,p2,69,p2,33.00,1008,21,4.07,222
1496,Sam Ko,Ang Thong,Central,Thailand,100.218600,14.607350,2025-03-28 04:00:00.000,110,p2,55,p2,33.00,1007,20,3.18,226
1497,Bang Bon,Bangkok,Central,Thailand,100.395670,13.661850,2025-03-28 04:00:00.000,111,p2,61,p1,34.00,1008,35,1.65,212
1498,Bang Kapi,Bangkok,Central,Thailand,100.672686,13.752633,2025-03-28 04:00:00.000,114,p2,57,p2,33.00,1008,37,2.57,300
1499,Bang Khae,Bangkok,Central,Thailand,100.406910,13.691960,2025-03-28 04:00:00.000,110,p2,55,p2,34.00,1008,34,1.45,224
1500,Bang Kho Laem,Bangkok,Central,Thailand,100.517185,13.686766,2025-03-28 04:00:00.000,94,p2,46,p2,33.00,1008,38,1.91,205
1501,Bang Khun Thian,Bangkok,Central,Thailand,100.434160,13.663020,2025-03-28 04:00:00.000,120,p2,61,p1,34.00,1008,36,1.77,209
1502,Bang Na,Bangkok,Central,Thailand,100.605741,13.666116,2025-03-28 04:00:00.000,105,p2,67,p1,33.00,1008,40,2.57,300
